Merge_method,Component,Task,Metric,N,Mean_Component,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
TIES_D05,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7706,+0.0231,0.2472,0.5000,0.93,mixed
TIES_D05,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9898,-0.0006,0.4226,0.3173,-0.58,mixed
TIES_D05,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.6140,+0.0029,0.6410,0.7500,0.31,mixed
TIES_D05,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9653,+0.0002,0.9842,1.0000,0.01,mixed
TIES_D05,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.2851,+0.0353,0.0186,0.2500,4.17,all_B>A
TIES_D07,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8509,+0.0100,0.7984,1.0000,0.17,mixed
TIES_D07,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.7186,+0.0175,0.5542,0.7500,0.41,mixed
TIES_D07,MARK+LRD,climate_detection,f1,3,0.9363,0.9490,+0.0126,0.0071,0.2500,6.84,all_B>A
TIES_D07,MARK+LRD,climate_specificity,f1,3,0.6655,0.7066,+0.0411,0.0138,0.2500,4.86,all_B>A
TIES_D07,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7559,-0.0208,0.2183,0.5000,-1.02,mixed
TIES_D07,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9904,+0.0197,0.1146,0.2500,1.55,all_B>A
TIES_D07,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.5965,-0.0141,0.2621,0.5000,-0.89,mixed
TIES_D07,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9671,-0.0024,0.8296,1.0000,-0.14,mixed
TIES_D07,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.2694,+0.0120,0.3327,0.5000,0.73,mixed
